Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Urban,State - TAMIL NADU,Sikh,15-19,855,479,376,130,98,32,55,32,23,34,22,12,670,349,321,101,52,49
Urban,State - TAMIL NADU,Sikh,20-24,1095,633,462,392,307,85,72,40,32,42,23,19,631,286,345,174,93,81
Urban,State - TAMIL NADU,Sikh,25-29,1037,556,481,525,434,91,66,38,28,31,21,10,446,84,362,107,28,79
Urban,State - TAMIL NADU,Sikh,30-34,964,533,431,575,476,99,56,29,27,17,9,8,333,28,305,48,6,42
Urban,State - TAMIL NADU,Sikh,35-39,917,525,392,573,477,96,40,23,17,11,4,7,304,25,279,47,8,39
Urban,State - TAMIL NADU,Sikh,40-49,1411,833,578,904,750,154,79,53,26,24,18,6,428,30,398,41,6,35
Urban,State - TAMIL NADU,Sikh,50-59,887,495,392,492,427,65,43,25,18,12,6,6,352,43,309,16,4,12
Urban,State - TAMIL NADU,Sikh,60-69,606,314,292,224,184,40,30,19,11,3,1,2,352,111,241,9,2,7
Urban,State - TAMIL NADU,Sikh,70-79,273,154,119,71,63,8,13,6,7,1,1,0,189,85,104,1,0,1
Urban,State - TAMIL NADU,Sikh,80+,93,45,48,12,10,2,5,3,2,1,0,1,76,32,44,0,0,0
Urban,State - TAMIL NADU,Sikh,Age not stated,34,19,15,10,7,3,1,1,0,0,0,0,23,11,12,1,0,1
Urban,State - TAMIL NADU,Sikh,15-59,7166,4054,3112,3591,2969,622,411,240,171,171,103,68,3164,845,2319,534,197,337
Urban,State - TAMIL NADU,Sikh,60+,972,513,459,307,257,50,48,28,20,5,2,3,617,228,389,10,2,8
Urban,State - TAMIL NADU,Buddhist,Total,7901,4260,3641,2696,2180,516,311,185,126,104,66,38,4894,1895,2999,407,190,217
Urban,State - TAMIL NADU,Buddhist,5-9,661,359,302,4,1,3,15,10,5,5,3,2,642,348,294,6,3,3
Urban,State - TAMIL NADU,Buddhist,10-14,637,336,301,8,7,1,14,10,4,1,0,1,615,319,296,4,3,1
Urban,State - TAMIL NADU,Buddhist,15-19,709,382,327,83,66,17,34,16,18,7,3,4,592,300,292,82,45,37
Urban,State - TAMIL NADU,Buddhist,20-24,891,520,371,299,232,67,51,28,23,29,20,9,541,260,281,131,77,54
Urban,State - TAMIL NADU,Buddhist,25-29,816,436,380,419,339,80,43,27,16,20,12,8,354,70,284,72,21,51
Urban,State - TAMIL NADU,Buddhist,30-34,729,390,339,395,326,69,31,19,12,11,8,3,303,45,258,48,20,28
Urban,State - TAMIL NADU,Buddhist,35-39,620,338,282,381,311,70,25,16,9,11,8,3,214,11,203,16,5,11
Urban,State - TAMIL NADU,Buddhist,40-49,928,501,427,573,453,120,47,26,21,10,6,4,308,22,286,23,5,18
Urban,State - TAMIL NADU,Buddhist,50-59,610,342,268,346,289,57,27,15,12,7,4,3,237,38,199,15,6,9
Urban,State - TAMIL NADU,Buddhist,60-69,390,207,183,140,115,25,17,14,3,2,2,0,233,78,155,7,4,3
Urban,State - TAMIL NADU,Buddhist,70-79,168,81,87,36,32,4,7,4,3,1,0,1,125,45,80,2,1,1
Urban,State - TAMIL NADU,Buddhist,80+,85,31,54,9,8,1,0,0,0,0,0,0,76,23,53,0,0,0
Urban,State - TAMIL NADU,Buddhist,Age not stated,11,6,5,3,1,2,0,0,0,0,0,0,8,5,3,1,0,1
Urban,State - TAMIL NADU,Buddhist,15-59,5303,2909,2394,2496,2016,480,258,147,111,95,61,34,2549,746,1803,387,179,208
Urban,State - TAMIL NADU,Buddhist,60+,643,319,324,185,155,30,24,18,6,3,2,1,434,146,288,9,5,4
Urban,State - TAMIL NADU,Jain,Total,79181,40561,38620,25026,22765,2261,2019,1154,865,555,323,232,52136,16642,35494,3224,1225,1999
Urban,State - TAMIL NADU,Jain,5-9,6214,3234,2980,50,30,20,96,47,49,19,7,12,6068,3157,2911,37,14,23
Urban,State - TAMIL NADU,Jain,10-14,6399,3386,3013,95,72,23,136,80,56,29,19,10,6168,3234,2934,35,20,15
Urban,State - TAMIL NADU,Jain,15-19,6612,3602,3010,419,331,88,178,96,82,64,28,36,6015,3175,2840,657,366,291
Urban,State - TAMIL NADU,Jain,20-24,6841,3468,3373,2061,1731,330,285,152,133,139,73,66,4495,1585,2910,1003,480,523
Urban,State - TAMIL NADU,Jain,25-29,7300,3660,3640,3377,3027,350,247,141,106,84,43,41,3676,492,3184,617,158,459
Urban,State - TAMIL NADU,Jain,30-34,7641,3747,3894,3668,3353,315,232,142,90,69,49,20,3741,252,3489,326,77,249
Urban,State - TAMIL NADU,Jain,35-39,7018,3604,3414,3612,3337,275,202,117,85,41,27,14,3204,150,3054,252,38,214
Urban,State - TAMIL NADU,Jain,40-49,11040,5685,5355,5814,5340,474,290,170,120,61,45,16,4936,175,4761,178,32,146
Urban,State - TAMIL NADU,Jain,50-59,7242,3738,3504,3604,3341,263,199,107,92,27,15,12,3439,290,3149,55,15,40
Urban,State - TAMIL NADU,Jain,60-69,4468,2297,2171,1751,1657,94,90,61,29,18,15,3,2627,579,2048,50,18,32
Urban,State - TAMIL NADU,Jain,70-79,1908,927,981,454,436,18,47,32,15,4,2,2,1407,459,948,11,6,5
Urban,State - TAMIL NADU,Jain,80+,721,275,446,104,95,9,15,8,7,0,0,0,602,172,430,2,1,1
Urban,State - TAMIL NADU,Jain,Age not stated,103,48,55,17,15,2,2,1,1,0,0,0,84,32,52,1,0,1
Urban,State - TAMIL NADU,Jain,15-59,53694,27504,26190,22555,20460,2095,1633,925,708,485,280,205,29506,6119,23387,3088,1166,1922
Urban,State - TAMIL NADU,Jain,60+,7097,3499,3598,2309,2188,121,152,101,51,22,17,5,4636,1210,3426,63,25,38
Urban,State - TAMIL NADU,Other religious communities,Total,4827,2554,2273,1778,1413,365,209,115,94,69,42,27,2840,1026,1814,240,102,138
Urban,State - TAMIL NADU,Other religious communities,5-9,380,213,167,3,1,2,7,3,4,1,1,0,370,209,161,1,0,1
Urban,State - TAMIL NADU,Other religious communities,10-14,302,155,147,15,9,6,4,2,2,0,0,0,283,144,139,1,0,1
Urban,State - TAMIL NADU,Other religious communities,15-19,388,195,193,53,29,24,9,3,6,5,1,4,326,163,163,37,21,16
Urban,State - TAMIL NADU,Other religious communities,20-24,473,255,218,174,143,31,21,14,7,10,7,3,278,98,180,80,42,38
Urban,State - TAMIL NADU,Other religious communities,25-29,481,244,237,245,190,55,32,14,18,12,5,7,204,40,164,42,16,26
Urban,State - TAMIL NADU,Other religious communities,30-34,431,236,195,249,202,47,27,18,9,14,10,4,155,16,139,26,7,19
Urban,State - TAMIL NADU,Other religious communities,35-39,427,242,185,256,205,51,23,15,8,9,7,2,148,22,126,23,7,16
Urban,State - TAMIL NADU,Other religious communities,40-49,645,357,288,387,312,75,39,26,13,13,9,4,219,19,200,19,4,15
Urban,State - TAMIL NADU,Other religious communities,50-59,447,235,212,244,199,45,25,10,15,3,1,2,178,26,152,7,3,4
Urban,State - TAMIL NADU,Other religious communities,60-69,269,141,128,104,85,19,15,7,8,0,0,0,150,49,101,3,1,2
Urban,State - TAMIL NADU,Other religious communities,70-79,148,84,64,37,33,4,3,1,2,1,0,1,108,50,58,1,1,0
Urban,State - TAMIL NADU,Other religious communities,80+,56,19,37,7,2,5,3,1,2,1,1,0,46,16,30,0,0,0
Urban,State - TAMIL NADU,Other religious communities,Age not stated,19,11,8,4,3,1,1,1,0,0,0,0,14,7,7,0,0,0
Urban,State - TAMIL NADU,Other religious communities,15-59,3292,1764,1528,1608,1280,328,176,100,76,66,40,26,1508,384,1124,234,100,134
Urban,State - TAMIL NADU,Other religious communities,60+,473,244,229,148,120,28,21,9,12,2,1,1,304,115,189,4,2,2
Total,State - PUDUCHERRY,All religious communities,Total,1247953,612511,635442,399689,306409,93280,45279,26522,18757,16806,10466,6340,802985,279580,523405,68665,25123,43542
Total,State - PUDUCHERRY,All religious communities,5-9,98717,50327,48390,464,242,222,304,174,130,76,45,31,97949,49911,48038,646,335,311
Total,State - PUDUCHERRY,All religious communities,10-14,105726,53936,51790,957,642,315,448,234,214,143,77,66,104321,53060,51261,1281,700,581
Total,State - PUDUCHERRY,All religious communities,15-19,102316,52231,50085,7894,5610,2284,1802,1154,648,970,619,351,92620,45467,47153,11095,5906,5189
Total,State - PUDUCHERRY,All religious communities,20-24,108819,51287,57532,31822,22793,9029,4783,2957,1826,2813,1787,1026,72214,25537,46677,21063,9782,11281
Total,State - PUDUCHERRY,All religious communities,25-29,118244,55052,63192,55829,42803,13026,6189,3740,2449,3189,2029,1160,56226,8509,47717,14781,4525,10256
Total,State - PUDUCHERRY,All religious communities,30-34,111070,53761,57309,60567,46918,13649,6052,3576,2476,2596,1623,973,44451,3267,41184,8050,1515,6535
Total,State - PUDUCHERRY,All religious communities,35-39,107459,52655,54804,62407,47291,15116,6233,3340,2893,2389,1398,991,38819,2024,36795,5085,698,4387
Total,State - PUDUCHERRY,All religious communities,40-49,169084,86107,82977,99875,77237,22638,9720,5430,4290,2911,1776,1135,59489,3440,56049,4177,732,3445
Total,State - PUDUCHERRY,All religious communities,50-59,111032,55473,55559,57640,45571,12069,5772,3420,2352,1161,750,411,47620,6482,41138,1452,449,1003
Total,State - PUDUCHERRY,All religious communities,60-69,71811,32652,39159,16820,13134,3686,2960,1834,1126,446,288,158,52031,17684,34347,731,339,392
Total,State - PUDUCHERRY,All religious communities,70-79,35310,15355,19955,4214,3269,945,792,517,275,75,49,26,30304,11569,18735,201,92,109
Total,State - PUDUCHERRY,All religious communities,80+,13315,5412,7903,965,714,251,174,114,60,20,15,5,12176,4584,7592,62,29,33
Total,State - PUDUCHERRY,All religious communities,Age not stated,1101,560,541,235,185,50,50,32,18,17,10,7,816,343,473,41,21,20
Total,State - PUDUCHERRY,All religious communities,15-59,828024,406566,421458,376034,288223,87811,40551,23617,16934,16029,9982,6047,411439,94726,316713,65703,23607,42096
Total,State - PUDUCHERRY,All religious communities,60+,120436,53419,67017,21999,17117,4882,3926,2465,1461,541,352,189,94511,33837,60674,994,460,534
Total,State - PUDUCHERRY,Hindu,Total,1089409,536701,552708,352785,269970,82815,40793,23803,16990,14993,9219,5774,695831,242928,452903,59980,21635,38345
Total,State - PUDUCHERRY,Hindu,5-9,86148,43876,42272,387,205,182,267,151,116,69,40,29,85494,43520,41974,538,279,259
Total,State - PUDUCHERRY,Hindu,10-14,92493,47136,45357,838,568,270,378,198,180,123,68,55,91277,46370,44907,1070,585,485
Total,State - PUDUCHERRY,Hindu,15-19,89297,45637,43660,7001,4945,2056,1586,1012,574,851,539,312,80710,39680,41030,9639,5080,4559
Total,State - PUDUCHERRY,Hindu,20-24,95103,45015,50088,28074,20033,8041,4240,2618,1622,2509,1571,938,62789,22364,40425,18475,8533,9942
Total,State - PUDUCHERRY,Hindu,25-29,103899,48568,55331,49399,37780,11619,5594,3381,2213,2869,1809,1060,48906,7407,41499,13058,3954,9104
Total,State - PUDUCHERRY,Hindu,30-34,97254,47347,49907,53540,41369,12171,5450,3204,2246,2300,1416,884,38264,2774,35490,7046,1274,5772
Total,State - PUDUCHERRY,Hindu,35-39,94374,46393,47981,55261,41721,13540,5646,2994,2652,2134,1227,907,33467,1678,31789,4382,567,3815
Total,State - PUDUCHERRY,Hindu,40-49,147932,75782,72150,88059,68031,20028,8812,4901,3911,2601,1561,1040,51061,2850,48211,3642,602,3040
Total,State - PUDUCHERRY,Hindu,50-59,96419,48536,47883,50570,40050,10520,5196,3071,2125,1043,671,372,40653,5415,35238,1237,348,889
Total,State - PUDUCHERRY,Hindu,60-69,62176,28429,33747,14829,11555,3274,2708,1670,1038,395,253,142,44639,15204,29435,629,286,343
Total,State - PUDUCHERRY,Hindu,70-79,30564,13412,17152,3750,2908,842,719,473,246,69,44,25,26095,10031,16064,175,81,94
Total,State - PUDUCHERRY,Hindu,80+,11524,4777,6747,870,642,228,152,102,50,16,12,4,10502,4033,6469,53,27,26
Total,State - PUDUCHERRY,Hindu,Age not stated,900,443,457,207,163,44,45,28,17,14,8,6,648,252,396,36,19,17
Total,State - PUDUCHERRY,Hindu,15-59,724278,357278,367000,331904,253929,77975,36524,21181,15343,14307,8794,5513,355850,82168,273682,57479,20358,37121
Total,State - PUDUCHERRY,Hindu,60+,104264,46618,57646,19449,15105,4344,3579,2245,1334,480,309,171,81236,29268,51968,857,394,463
Total,State - PUDUCHERRY,Muslim,Total,75556,36450,39106,18919,16966,1953,2052,1399,653,931,749,182,54585,18085,36500,4277,1883,2394
Total,State - PUDUCHERRY,Muslim,5-9,6582,3392,3190,39,18,21,19,12,7,6,5,1,6524,3362,3162,74,39,35
Total,State - PUDUCHERRY,Muslim,10-14,6626,3412,3214,57,34,23,35,20,15,7,4,3,6534,3358,3176,142,74,68
Total,State - PUDUCHERRY,Muslim,15-19,6440,3282,3158,420,346,74,124,81,43,74,49,25,5896,2855,3041,834,484,350
Total,State - PUDUCHERRY,Muslim,20-24,6966,3154,3812,1619,1400,219,265,179,86,163,128,35,5082,1575,3507,1329,671,658
Total,State - PUDUCHERRY,Muslim,25-29,6790,3005,3785,2602,2302,300,280,189,91,152,132,20,3908,514,3394,743,280,463
Total,State - PUDUCHERRY,Muslim,30-34,6587,3016,3571,2906,2619,287,261,182,79,145,119,26,3420,215,3205,427,102,325
Total,State - PUDUCHERRY,Muslim,35-39,6128,2946,3182,2907,2599,308,271,182,89,131,104,27,2950,165,2785,321,68,253
Total,State - PUDUCHERRY,Muslim,40-49,9488,4685,4803,4512,4140,372,402,272,130,162,136,26,4574,273,4301,245,68,177
Total,State - PUDUCHERRY,Muslim,50-59,6211,3061,3150,2646,2418,228,239,173,66,61,50,11,3326,470,2856,104,61,43
Total,State - PUDUCHERRY,Muslim,60-69,4201,1921,2280,956,868,88,118,85,33,25,19,6,3127,968,2159,48,30,18
Total,State - PUDUCHERRY,Muslim,70-79,1879,799,1080,189,164,25,29,21,8,4,3,1,1661,614,1047,7,4,3
Total,State - PUDUCHERRY,Muslim,80+,696,265,431,48,43,5,8,3,5,0,0,0,640,219,421,2,1,1
Total,State - PUDUCHERRY,Muslim,Age not stated,97,56,41,18,15,3,1,0,1,1,0,1,78,41,37,1,1,0
Total,State - PUDUCHERRY,Muslim,15-59,48610,23149,25461,17612,15824,1788,1842,1258,584,888,718,170,29156,6067,23089,4003,1734,2269
Total,State - PUDUCHERRY,Muslim,60+,6776,2985,3791,1193,1075,118,155,109,46,29,22,7,5428,1801,3627,57,35,22
Total,State - PUDUCHERRY,Christian,Total,78550,37157,41393,26701,18452,8249,2332,1270,1062,848,476,372,49517,17435,32082,4192,1512,2680
Total,State - PUDUCHERRY,Christian,5-9,5621,2851,2770,36,17,19,16,11,5,0,0,0,5569,2823,2746,33,17,16
Total,State - PUDUCHERRY,Christian,10-14,6198,3181,3017,60,40,20,34,16,18,12,5,7,6104,3125,2979,59,34,25
Total,State - PUDUCHERRY,Christian,15-19,6236,3125,3111,443,300,143,89,58,31,44,30,14,5704,2767,2937,592,328,264
Total,State - PUDUCHERRY,Christian,20-24,6388,2936,3452,2037,1289,748,264,151,113,135,83,52,4087,1496,2591,1187,538,649
Total,State - PUDUCHERRY,Christian,25-29,7167,3302,3865,3654,2582,1072,304,168,136,163,86,77,3209,552,2657,932,273,659
Total,State - PUDUCHERRY,Christian,30-34,6830,3212,3618,3918,2770,1148,325,180,145,145,85,60,2587,262,2325,549,133,416
Total,State - PUDUCHERRY,Christian,35-39,6618,3132,3486,4039,2806,1233,302,155,147,117,61,56,2277,171,2106,367,60,307
Total,State - PUDUCHERRY,Christian,40-49,11160,5372,5788,6994,4817,2177,491,252,239,146,78,68,3675,303,3372,284,59,225
Total,State - PUDUCHERRY,Christian,50-59,8059,3718,4341,4255,2963,1292,326,172,154,56,29,27,3478,583,2895,108,39,69
Total,State - PUDUCHERRY,Christian,60-69,5157,2192,2965,972,663,309,127,75,52,24,14,10,4058,1454,2604,54,23,31
Total,State - PUDUCHERRY,Christian,70-79,2721,1087,1634,250,179,71,40,22,18,2,2,0,2431,886,1545,18,7,11
Total,State - PUDUCHERRY,Christian,80+,1034,340,694,39,23,16,13,9,4,4,3,1,982,308,674,6,1,5
Total,State - PUDUCHERRY,Christian,Age not stated,58,33,25,4,3,1,1,1,0,0,0,0,53,29,24,3,0,3
Total,State - PUDUCHERRY,Christian,15-59,52458,24797,27661,25340,17527,7813,2101,1136,965,806,452,354,25017,6134,18883,4019,1430,2589
Total,State - PUDUCHERRY,Christian,60+,8912,3619,5293,1261,865,396,180,106,74,30,19,11,7471,2648,4823,78,31,47
Total,State - PUDUCHERRY,Sikh,Total,297,156,141,112,90,22,13,7,6,2,2,0,172,59,113,12,7,5
Total,State - PUDUCHERRY,Sikh,5-9,24,13,11,0,0,0,0,0,0,0,0,0,24,13,11,0,0,0
Total,State - PUDUCHERRY,Sikh,10-14,22,4,18,0,0,0,0,0,0,0,0,0,22,4,18,0,0,0
Total,State - PUDUCHERRY,Sikh,15-19,28,15,13,5,2,3,0,0,0,0,0,0,23,13,10,1,1,0
Total,State - PUDUCHERRY,Sikh,20-24,22,16,6,9,8,1,1,1,0,0,0,0,12,7,5,5,4,1
Total,State - PUDUCHERRY,Sikh,25-29,28,14,14,13,10,3,2,0,2,0,0,0,13,4,9,4,2,2
Total,State - PUDUCHERRY,Sikh,30-34,25,15,10,17,12,5,2,2,0,0,0,0,6,1,5,1,0,1
Total,State - PUDUCHERRY,Sikh,35-39,26,10,16,9,8,1,2,1,1,1,1,0,15,1,14,1,0,1
Total,State - PUDUCHERRY,Sikh,40-49,43,32,11,33,29,4,1,1,0,0,0,0,9,2,7,0,0,0
Total,State - PUDUCHERRY,Sikh,50-59,25,15,10,17,14,3,1,0,1,0,0,0,7,1,6,0,0,0
Total,State - PUDUCHERRY,Sikh,60-69,23,10,13,9,7,2,4,2,2,1,1,0,10,1,9,0,0,0
Total,State - PUDUCHERRY,Sikh,70-79,5,3,2,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0
Total,State - PUDUCHERRY,Sikh,80+,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
Total,State - PUDUCHERRY,Sikh,Age not stated,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Total,State - PUDUCHERRY,Sikh,15-59,197,117,80,103,83,20,9,5,4,1,1,0,85,29,56,12,7,5
Total,State - PUDUCHERRY,Sikh,60+,31,14,17,9,7,2,4,2,2,1,1,0,18,5,13,0,0,0
Total,State - PUDUCHERRY,Buddhist,Total,451,250,201,139,113,26,7,3,4,3,2,1,305,134,171,24,6,18
Total,State - PUDUCHERRY,Buddhist,5-9,29,21,8,0,0,0,0,0,0,0,0,0,29,21,8,0,0,0
Total,State - PUDUCHERRY,Buddhist,10-14,49,26,23,0,0,0,0,0,0,0,0,0,49,26,23,0,0,0
Total,State - PUDUCHERRY,Buddhist,15-19,43,26,17,3,3,0,0,0,0,0,0,0,40,23,17,4,2,2
Total,State - PUDUCHERRY,Buddhist,20-24,48,29,19,13,12,1,4,2,2,1,1,0,31,15,16,9,3,6
Total,State - PUDUCHERRY,Buddhist,25-29,45,23,22,25,21,4,0,0,0,0,0,0,20,2,18,4,1,3
Total,State - PUDUCHERRY,Buddhist,30-34,35,17,18,22,16,6,0,0,0,0,0,0,13,1,12,4,0,4
Total,State - PUDUCHERRY,Buddhist,35-39,31,20,11,20,20,0,0,0,0,0,0,0,11,0,11,2,0,2
Total,State - PUDUCHERRY,Buddhist,40-49,47,24,23,31,23,8,3,1,2,2,1,1,13,0,13,1,0,1
Total,State - PUDUCHERRY,Buddhist,50-59,28,17,11,20,16,4,0,0,0,0,0,0,8,1,7,0,0,0
Total,State - PUDUCHERRY,Buddhist,60-69,24,9,15,5,2,3,0,0,0,0,0,0,19,7,12,0,0,0
Total,State - PUDUCHERRY,Buddhist,70-79,15,8,7,0,0,0,0,0,0,0,0,0,15,8,7,0,0,0
Total,State - PUDUCHERRY,Buddhist,80+,6,2,4,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0
Total,State - PUDUCHERRY,Buddhist,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,State - PUDUCHERRY,Buddhist,15-59,277,156,121,134,111,23,7,3,4,3,2,1,136,42,94,24,6,18
Total,State - PUDUCHERRY,Buddhist,60+,45,19,26,5,2,3,0,0,0,0,0,0,40,17,23,0,0,0
Total,State - PUDUCHERRY,Jain,Total,1400,702,698,423,371,52,10,5,5,4,1,3,967,326,641,60,23,37
Total,State - PUDUCHERRY,Jain,5-9,111,60,51,0,0,0,0,0,0,0,0,0,111,60,51,1,0,1
Total,State - PUDUCHERRY,Jain,10-14,137,74,63,1,0,1,1,0,1,1,0,1,135,74,61,5,2,3
Total,State - PUDUCHERRY,Jain,15-19,96,51,45,2,2,0,0,0,0,0,0,0,94,49,45,11,6,5
Total,State - PUDUCHERRY,Jain,20-24,112,56,56,22,17,5,2,1,1,2,1,1,88,38,50,25,13,12
Total,State - PUDUCHERRY,Jain,25-29,114,48,66,49,42,7,1,0,1,1,0,1,64,6,58,9,1,8
Total,State - PUDUCHERRY,Jain,30-34,135,60,75,68,58,10,1,0,1,0,0,0,66,2,64,5,1,4
Total,State - PUDUCHERRY,Jain,35-39,130,69,61,76,67,9,0,0,0,0,0,0,54,2,52,4,0,4
Total,State - PUDUCHERRY,Jain,40-49,181,100,81,111,99,12,0,0,0,0,0,0,70,1,69,0,0,0
Total,State - PUDUCHERRY,Jain,50-59,122,61,61,58,53,5,2,2,0,0,0,0,62,6,56,0,0,0
Total,State - PUDUCHERRY,Jain,60-69,89,40,49,22,21,1,1,1,0,0,0,0,66,18,48,0,0,0
Total,State - PUDUCHERRY,Jain,70-79,38,19,19,11,10,1,2,1,1,0,0,0,25,8,17,0,0,0
Total,State - PUDUCHERRY,Jain,80+,12,6,6,2,1,1,0,0,0,0,0,0,10,5,5,0,0,0
Total,State - PUDUCHERRY,Jain,Age not stated,3,1,2,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0
Total,State - PUDUCHERRY,Jain,15-59,890,445,445,386,338,48,6,3,3,3,1,2,498,104,394,54,21,33
Total,State - PUDUCHERRY,Jain,60+,139,65,74,35,32,3,3,2,1,0,0,0,101,31,70,0,0,0
Total,State - PUDUCHERRY,Other religious communities,Total,168,88,80,56,39,17,3,3,0,0,0,0,109,46,63,11,2,9
Total,State - PUDUCHERRY,Other religious communities,5-9,12,10,2,0,0,0,0,0,0,0,0,0,12,10,2,0,0,0
Total,State - PUDUCHERRY,Other religious communities,10-14,8,5,3,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0
Total,State - PUDUCHERRY,Other religious communities,15-19,4,3,1,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0
Total,State - PUDUCHERRY,Other religious communities,20-24,11,6,5,1,0,1,1,1,0,0,0,0,9,5,4,2,1,1
Total,State - PUDUCHERRY,Other religious communities,25-29,16,6,10,6,5,1,0,0,0,0,0,0,10,1,9,5,1,4
Total,State - PUDUCHERRY,Other religious communities,30-34,19,6,13,6,5,1,1,1,0,0,0,0,12,0,12,4,0,4
Total,State - PUDUCHERRY,Other religious communities,35-39,5,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Total,State - PUDUCHERRY,Other religious communities,40-49,15,8,7,11,7,4,1,1,0,0,0,0,3,0,3,0,0,0
Total,State - PUDUCHERRY,Other religious communities,50-59,25,12,13,14,10,4,0,0,0,0,0,0,11,2,9,0,0,0
Total,State - PUDUCHERRY,Other religious communities,60-69,13,8,5,7,6,1,0,0,0,0,0,0,6,2,4,0,0,0
Total,State - PUDUCHERRY,Other religious communities,70-79,9,1,8,3,0,3,0,0,0,0,0,0,6,1,5,0,0,0
Total,State - PUDUCHERRY,Other religious communities,80+,5,2,3,1,1,0,0,0,0,0,0,0,4,1,3,0,0,0
Total,State - PUDUCHERRY,Other religious communities,Age not stated,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Total,State - PUDUCHERRY,Other religious communities,15-59,95,45,50,45,32,13,3,3,0,0,0,0,47,10,37,11,2,9
Total,State - PUDUCHERRY,Other religious communities,60+,27,11,16,11,7,4,0,0,0,0,0,0,16,4,12,0,0,0
Rural,State - PUDUCHERRY,All religious communities,Total,395200,194907,200293,122188,91068,31120,25688,14637,11051,9312,5770,3542,247324,89202,158122,22103,8438,13665
Rural,State - PUDUCHERRY,All religious communities,5-9,32968,16810,16158,180,97,83,91,52,39,27,19,8,32697,16661,16036,151,82,69
Rural,State - PUDUCHERRY,All religious communities,10-14,35351,17972,17379,354,235,119,162,79,83,70,34,36,34835,17658,17177,374,201,173
Rural,State - PUDUCHERRY,All religious communities,15-19,34019,17394,16625,2898,2033,865,830,523,307,449,285,164,30291,14838,15453,4266,2271,1995
Rural,State - PUDUCHERRY,All religious communities,20-24,36272,17155,19117,10595,7593,3002,2346,1475,871,1360,874,486,23331,8087,15244,6991,3265,3726
Rural,State - PUDUCHERRY,All religious communities,25-29,38840,18442,20398,17773,13600,4173,3407,2030,1377,1700,1093,607,17660,2812,14848,4761,1540,3221
Rural,State - PUDUCHERRY,All religious communities,30-34,34114,16868,17246,18358,13947,4411,3378,1919,1459,1463,902,561,12378,1002,11376,2216,425,1791
Rural,State - PUDUCHERRY,All religious communities,35-39,32946,16190,16756,18774,13664,5110,3679,1925,1754,1406,816,590,10493,601,9892,1316,181,1135
Rural,State - PUDUCHERRY,All religious communities,40-49,50045,25580,24465,28895,21457,7438,5857,3141,2716,1725,1031,694,15293,982,14311,1170,194,976
Rural,State - PUDUCHERRY,All religious communities,50-59,32173,15896,16277,16171,12221,3950,3527,2019,1508,734,472,262,12475,1656,10819,472,128,344
Rural,State - PUDUCHERRY,All religious communities,60-69,21894,9776,12118,6061,4562,1499,1816,1097,719,295,191,104,14017,4117,9900,253,90,163
Rural,State - PUDUCHERRY,All religious communities,70-79,10597,4709,5888,1650,1300,350,454,284,170,56,34,22,8493,3125,5368,89,37,52
Rural,State - PUDUCHERRY,All religious communities,80+,3957,1747,2210,391,288,103,109,71,38,13,9,4,3457,1388,2069,24,14,10
Rural,State - PUDUCHERRY,All religious communities,Age not stated,498,258,240,88,71,17,32,22,10,14,10,4,378,165,213,20,10,10
Rural,State - PUDUCHERRY,All religious communities,15-59,258409,127525,130884,113464,84515,28949,23024,13032,9992,8837,5473,3364,121921,29978,91943,21192,8004,13188
Rural,State - PUDUCHERRY,All religious communities,60+,36448,16232,20216,8102,6150,1952,2379,1452,927,364,234,130,25967,8630,17337,366,141,225
Rural,State - PUDUCHERRY,Hindu,Total,370509,182944,187565,115169,85348,29821,24619,14016,10603,8894,5502,3392,230721,83580,147141,20842,7922,12920
Rural,State - PUDUCHERRY,Hindu,5-9,30839,15729,15110,163,92,71,85,51,34,25,19,6,30591,15586,15005,134,70,64
Rural,State - PUDUCHERRY,Hindu,10-14,33189,16859,16330,333,223,110,153,77,76,65,33,32,32703,16559,16144,343,184,159
Rural,State - PUDUCHERRY,Hindu,15-19,31980,16376,15604,2748,1907,841,795,498,297,427,268,159,28437,13971,14466,4005,2124,1881
Rural,State - PUDUCHERRY,Hindu,20-24,33964,16105,17859,9955,7084,2871,2233,1396,837,1291,825,466,21776,7625,14151,6628,3084,3544
Rural,State - PUDUCHERRY,Hindu,25-29,36544,17436,19108,16836,12831,4005,3258,1951,1307,1620,1045,575,16450,2654,13796,4528,1458,3070
